Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-01,Albury,13.4,22.9,0.6,6.274735064849499,6.98813316330564,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.152671746109071,16.9,21.8,No,No
2008-12-02,Albury,7.4,25.1,0.0,6.2557575763500255,10.869421876132165,WNW,44.0,NNW,WSW,4.0,22.0,44.0,25.0,1010.6,1007.8,1.9148874986704705,2.6416997237336055,17.2,24.3,No,No
2008-12-03,Albury,12.9,25.7,0.0,8.578105555506117,11.803505165039262,WSW,46.0,W,WSW,19.0,26.0,38.0,30.0,1007.6,1008.7,2.0238740880914,2.0,21.0,23.2,No,No
2008-12-04,Albury,9.2,28.0,0.0,6.828152638866128,11.579490381612752,NE,24.0,SE,E,11.0,9.0,45.0,16.0,1017.6,1012.8,1.1839220381722946,1.9737674482295269,18.1,26.5,No,No
2008-12-05,Albury,17.5,32.3,1.0,7.364309440389476,5.498383049754241,W,41.0,ENE,NW,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,8.0,17.8,29.7,No,No
2008-12-06,Albury,14.6,29.7,0.2,7.9853005539366775,10.193501144981939,WNW,56.0,W,W,19.0,24.0,55.0,23.0,1009.2,1005.4,3.087612412172547,3.1191465480473717,20.6,28.9,No,No
2008-12-07,Albury,14.3,25.0,0.0,7.947970297940627,11.554241486982582,W,50.0,SW,W,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,1.8237767078195581,18.1,24.6,No,No
2008-12-08,Albury,7.7,26.7,0.0,6.601221987620006,11.390704542581174,W,35.0,SSE,W,6.0,17.0,48.0,19.0,1013.4,1010.1,1.7068404018869323,2.2401887983379254,16.3,25.5,No,No
2008-12-09,Albury,9.7,31.9,0.0,9.025087110170162,11.386577217605504,NNW,80.0,SE,NW,7.0,28.0,42.0,9.0,1008.9,1003.6,1.7194233557324061,2.624802598489744,18.3,30.2,No,Yes
2008-12-10,Albury,13.1,30.1,1.4,7.711116932946881,10.736913799925071,W,28.0,S,SSE,15.0,11.0,58.0,27.0,1007.0,1005.7,2.747002321115154,3.1736007071427927,20.1,28.2,Yes,No
2008-12-11,Albury,13.4,30.4,0.0,8.17972126559133,10.593187803543097,N,30.0,SSE,ESE,17.0,6.0,48.0,22.0,1011.8,1008.7,2.230474153396049,2.9223894385805522,20.4,28.8,No,Yes
2008-12-12,Albury,15.9,21.7,2.2,3.146594363296991,1.5537343646457717,NNE,31.0,NE,ENE,15.0,13.0,89.0,91.0,1010.5,1004.2,8.0,8.0,15.9,17.0,Yes,Yes
2008-12-13,Albury,15.9,18.6,15.6,4.40266571312857,1.8709605521810548,W,61.0,NNW,NNW,28.0,28.0,76.0,93.0,994.3,993.0,8.0,8.0,17.4,15.8,Yes,Yes
2008-12-14,Albury,12.6,21.0,3.6,5.938159209658626,5.632786832317585,SW,44.0,W,SSW,24.0,20.0,65.0,43.0,1001.2,1001.8,6.228186138628532,7.0,15.8,19.8,Yes,No
