variable,Multivariada_final_pro,Imputacion_simple,Eliminacion_registros,signo_multivariada,signo_simple,signo_eliminacion,signo_estable
Intercepto,-1.8146840138810638,-1.8172386207894655,-1.879021085173194,-1.0,-1.0,-1.0,True
Humidity3pm,0.9806025402125194,0.9818233723713525,1.012291629188785,1.0,1.0,1.0,True
Humidity9am,0.13412062131316652,0.1356794302851155,0.15527821795840585,1.0,1.0,1.0,True
Cloud3pm,0.20437865620382123,0.20225657113571224,0.19038397962068104,1.0,1.0,1.0,True
Cloud9am,-0.06852349045503563,-0.0674064108468428,-0.04337887775132206,-1.0,-1.0,-1.0,True
Rainfall,0.15437001810151604,0.15341675744169153,0.14485847651306796,1.0,1.0,1.0,True
WindGustSpeed,0.6935016580535136,0.7048751613204772,0.726681476176864,1.0,1.0,1.0,True
WindSpeed9am,-0.09268992488693932,-0.095630172802833,-0.09651149374351392,-1.0,-1.0,-1.0,True
WindSpeed3pm,-0.19563160396089027,-0.2014100719406062,-0.20373659665775126,-1.0,-1.0,-1.0,True
Pressure9am,0.7309640510167195,0.7385852709170647,0.723048347756171,1.0,1.0,1.0,True
Pressure3pm,-1.1522539413772888,-1.159510234889376,-1.1425667236780268,-1.0,-1.0,-1.0,True
MinTemp,-0.08138148045992825,-0.08637150509681163,-0.13340263882524112,-1.0,-1.0,-1.0,True
Temp9am,0.18402413079824284,0.1893876113956418,0.27498598312621986,1.0,1.0,1.0,True
Sunshine,-0.5209205104213215,-0.5221167827128474,-0.5489391803303898,-1.0,-1.0,-1.0,True
