variable,coeficiente_original,coef_boot_media,coef_boot_std,ic_2_5,ic_97_5,incluye_cero,odds_ratio_original,or_boot_media,or_ic_2_5,or_ic_97_5,interpretacion_estabilidad
Intercepto,-1.8146840138810638,-1.8154042070212737,0.01165249463018423,-1.8385102560779554,-1.7929237010954984,False,0.16288937103919804,0.1627721014650027,0.159054199724417,0.1664727409312578,Estable
Humidity3pm,0.9806025402125194,0.9810709394122655,0.016632354415921195,0.9480161697151495,1.0130727806938846,False,2.666062167728527,2.6673112416241347,2.5805851349598368,2.7540506200521655,Estable
Humidity9am,0.13412062131316652,0.13449658879486842,0.01743030738337402,0.10096788396497959,0.1693054297685603,False,1.1435307455062496,1.143960756710936,1.106241113114577,1.1844818597012832,Estable
Cloud3pm,0.20437865620382123,0.20475500296906485,0.017326953951439544,0.17092903779619423,0.23860531261753393,False,1.2267625867844827,1.227224361804058,1.186406556010662,1.2694773909838724,Estable
Cloud9am,-0.06852349045503563,-0.06814848024458801,0.0166891133710298,-0.10102473458643162,-0.03567436089774243,False,0.933771525127868,0.9341217646516103,0.9039106747526445,0.9649544692334727,Estable
Rainfall,0.15437001810151604,0.15466728129131668,0.014348196237876743,0.12742504261880208,0.18327475862648285,False,1.166922589385765,1.1672695240798385,1.1358997209816057,1.20114438752853,Estable
WindGustSpeed,0.6935016580535136,0.6934067644900025,0.016733032896040344,0.6610118096127899,0.7267225640114952,False,2.0007090806562786,2.000519235249762,1.936750966599077,2.06829079647505,Estable
WindSpeed9am,-0.09268992488693932,-0.09235072437019604,0.013080286242887491,-0.11833997008287289,-0.06684728328452623,False,0.9114760825323603,0.9117853081323313,0.8883939738957343,0.9353380321823027,Estable
WindSpeed3pm,-0.19563160396089027,-0.19531910250020415,0.01410677316483356,-0.22323000986355437,-0.1680950147447755,False,0.822315116516351,0.8225721313480702,0.7999308361504704,0.8452735174215337,Estable
Pressure9am,0.7309640510167195,0.7346967383699975,0.03814098591013113,0.6608377424802055,0.8106670984018156,False,2.077082055837783,2.0848496417253504,1.9364138712512524,2.2494080627953723,Estable
Pressure3pm,-1.1522539413772888,-1.1562287662271293,0.0383757842511266,-1.231074022393209,-1.0811263187063618,False,0.31592389235628754,0.3146706425924751,0.29197881742998993,0.3392132481753539,Estable
MinTemp,-0.08138148045992825,-0.08256512907544172,0.032921271344660955,-0.1454725426564605,-0.01731734172458224,False,0.9218419596647189,0.9207514682121057,0.8646136297414987,0.9828317416214003,Estable
Temp9am,0.18402413079824284,0.18522218044851843,0.03670580749037363,0.11251731720801933,0.25609570653682295,False,1.2020448290475803,1.203485801440517,1.11909163628764,1.2918763630359757,Estable
Sunshine,-0.5209205104213215,-0.5209784667714712,0.021849426667401757,-0.5638284866546881,-0.4779171395857551,False,0.5939735374131825,0.5939391138724095,0.5690263784278596,0.6200735744066249,Estable
