variable,coeficiente_original,IC 95% coeficiente,odds_ratio_original,IC 95% OR,interpretacion_estabilidad
Intercepto,-1.8146840138810638,[-1.8385; -1.7929],0.16288937103919804,[0.1591; 0.1665],Estable
Humidity3pm,0.9806025402125194,[0.948; 1.0131],2.666062167728527,[2.5806; 2.7541],Estable
Humidity9am,0.13412062131316652,[0.101; 0.1693],1.1435307455062496,[1.1062; 1.1845],Estable
Cloud3pm,0.20437865620382123,[0.1709; 0.2386],1.2267625867844827,[1.1864; 1.2695],Estable
Cloud9am,-0.06852349045503563,[-0.101; -0.0357],0.933771525127868,[0.9039; 0.965],Estable
Rainfall,0.15437001810151604,[0.1274; 0.1833],1.166922589385765,[1.1359; 1.2011],Estable
WindGustSpeed,0.6935016580535136,[0.661; 0.7267],2.0007090806562786,[1.9368; 2.0683],Estable
WindSpeed9am,-0.09268992488693932,[-0.1183; -0.0668],0.9114760825323603,[0.8884; 0.9353],Estable
WindSpeed3pm,-0.19563160396089027,[-0.2232; -0.1681],0.822315116516351,[0.7999; 0.8453],Estable
Pressure9am,0.7309640510167195,[0.6608; 0.8107],2.077082055837783,[1.9364; 2.2494],Estable
Pressure3pm,-1.1522539413772888,[-1.2311; -1.0811],0.31592389235628754,[0.292; 0.3392],Estable
MinTemp,-0.08138148045992825,[-0.1455; -0.0173],0.9218419596647189,[0.8646; 0.9828],Estable
Temp9am,0.18402413079824284,[0.1125; 0.2561],1.2020448290475803,[1.1191; 1.2919],Estable
Sunshine,-0.5209205104213215,[-0.5638; -0.4779],0.5939735374131825,[0.569; 0.6201],Estable
