indice_original,largo_petalo_cm,ancho_real_cm,pred_lineal_cm,pred_arbol_cm,pred_mlp_cm
7,1.5,0.2,0.261618465738113,0.23103448275862074,0.26292766416289937
10,1.5,0.2,0.261618465738113,0.23103448275862074,0.26292766416289937
14,1.2,0.2,0.13694249204711473,0.23103448275862074,0.17327187591643445
18,1.7,0.3,0.3447357815321118,0.375,0.32269818966054276
20,1.7,0.2,0.3447357815321118,0.375,0.32269818966054276
22,1.0,0.2,0.05382517625311589,0.23103448275862074,0.11350135041879161
28,1.4,0.2,0.22005980784111356,0.23103448275862074,0.23304240141407795
38,1.3,0.2,0.17850114994411415,0.23103448275862074,0.2031571386652562
42,1.3,0.2,0.17850114994411415,0.23103448275862074,0.2031571386652562
49,1.4,0.2,0.22005980784111356,0.23103448275862074,0.23304240141407795
51,4.5,1.5,1.5083782026480954,1.4636363636363638,1.4078592142583763
56,4.7,1.6,1.5914955184420945,1.4636363636363638,1.4727004569614186
57,3.3,1.0,1.0096743078841024,1.224,1.018811758040122
58,4.6,1.3,1.5499368605450947,1.4636363636363638,1.4402798356098974
63,4.7,1.4,1.5914955184420945,1.4636363636363638,1.4727004569614186
69,3.9,1.1,1.259026255266099,1.224,1.213335486149249
75,4.4,1.4,1.4668195447510963,1.224,1.375438592906855
77,5.0,1.7,1.7161714921330924,1.7823529411764705,1.8010386103885687
84,4.5,1.5,1.5083782026480954,1.4636363636363638,1.4078592142583763
93,3.3,1.0,1.0096743078841024,1.224,1.018811758040122
104,5.8,2.2,2.048640755309088,2.1259259259259258,2.1347124151337
107,6.3,1.8,2.2564340447940854,2.1259259259259258,2.174271549753368
116,5.5,1.8,1.9239647816180898,2.1259259259259258,2.077344963051785
127,4.9,1.8,1.6746128342360935,1.7823529411764705,1.6915893082216202
132,5.6,2.2,1.9655234395150891,2.1259259259259258,2.09646744707909
134,5.6,1.4,1.9655234395150891,2.1259259259259258,2.09646744707909
138,4.8,1.8,1.6330541763390938,1.7823529411764705,1.5821400060546709
140,5.6,2.4,1.9655234395150891,2.1259259259259258,2.09646744707909
141,5.1,2.3,1.7577301500300917,1.7823529411764705,1.9104879125555174
147,5.2,2.0,1.7992888079270914,2.1259259259259258,2.0199372147224666
